main_speaker,title,speaker_occupation,duration,languages,views,comments
Larry Page,Where_—Ès Google going next?,CEO of Google,1410,24,2293465,128
Ziauddin Yousafzai,"My daughter, Malala",Education activist,996,42,2124521,182
Bran Ferren,"To create for the ages, let's combine art and engineering",Technology designer,1212,27,1028312,82
Ed Yong,Zombie roaches and other parasite tales,Science writer,794,34,1624605,173
Del Harvey,Protecting Twitter users (sometimes from themselves),Security maven,559,26,885494,82
Hugh Herr,"The new bionics that let us run, climb and dance",Bionics designer,1140,27,7520736,316
Geena Rocero,Why I must come out,Model and activist,599,32,3133189,170
TED staff,"It's TED, the Musical",Amateur musicians,277,33,741146,42
Allan Adams,The discovery that could rewrite physics,Theoretical physicist,282,31,1736329,409
Bill and Melinda Gates,Why giving away our wealth has been the most satisfying thing we've done,Philanthropist,1500,28,3130752,283
Jennifer Golbeck,"Your social media ""likes"" expose more than you think",Computer scientist,595,31,2012614,138
Lawrence Lessig,The unstoppable walk to political reform,Legal activist,824,27,1095806,228
Amanda Burden,How public spaces make cities work,Urban planner,1108,26,1061964,78
Christopher Emdin,Teach teachers how to create magic,Education pioneer,414,32,2004811,206
Louie Schwartzberg, Hidden miracles of the natural world,Filmmaker,444,38,7015800,208
David Sengeh,The sore problem of prosthetic limbs,Biomechatronics engineer,283,32,742510,46
Gabby Giffords and Mark Kelly,Be passionate. Be courageous. Be your best.,Former U.S. Representative and NASA astronaut; survivors,1128,23,1048304,80
David Brooks,Should you live for your r’©sum’© ... or your eulogy?,Op-ed columnist ,301,31,2306549,200
Jennifer Senior,"For parents, happiness is a very high bar",Writer,1091,29,1901605,147
Norman Spack,How I help transgender teens become who they want to be,Endocrinologist,1013,27,1248568,134
Jeremy Kasdin,The flower-shaped starshade that might help us detect Earth-like planets,Planet finder,398,28,1276015,182
Matthew Carter,My life in typefaces,Type designer,961,23,1112914,44
Sarah Lewis,Embrace the near win,Writer,701,24,2293317,94
Michel Laberge,How synchronized hammer strikes could generate nuclear fusion,Plasma physicist,770,19,1038727,163
Hamish Jolly,A shark-deterrent wetsuit (and it's not what you think),"Inventor, ocean swimmer",752,27,2572038,150
James Patten,The best computer interface? Maybe ... your hands,Interaction designer,372,29,1033475,57
Elizabeth Gilbert,"Success, failure and the drive to keep creating",Writer,438,35,3643938,183
Wendy Chung,Autism _—” what we know (and what we don't know yet),Geneticist,935,32,2305547,238
David Epstein,"Are athletes really getting faster, better, stronger?",Sports science reporter,893,27,2824676,125
Andrew Bastawrous,Get your next eye exam on a smartphone,"Eye surgeon, inventor",393,33,1051614,69
Gavin Schmidt,The emergent patterns of climate change,Climate scientist,730,24,1150409,143
Sarah Jones,What does the future hold? 11 characters offer quirky answers,Polymorphic playwright,1116,20,1506064,84
Mellody Hobson,Color blind or color brave?,Investment expert,854,26,2200326,350
Marco Tempest,"And for my next trick, a robot",Techno-illusionist,378,29,1785193,85
Stanley McChrystal,The military case for sharing knowledge,Military leader,404,30,991694,95
Randall Munroe,"Comics that ask ""what if?""",Cartoonist,569,26,2558702,117
Mark Ronson,How sampling transformed music,Music producer and DJ,1010,21,3061003,86
William Black,"How to rob a bank (from the inside, that is)",Academic,1128,20,1509188,131
Deborah Gordon,"What ants teach us about the brain, cancer and the Internet",Ecologist,849,31,1378298,49
Kevin Briggs,The bridge between suicide and life,Golden Gate guardian,853,39,2500023,255
Tristram Wyatt,The smelly mystery of the human pheromone   ,Zoologist,893,26,1189824,44
Rives,The Museum of Four in the Morning,"Performance poet, multimedia artist",844,22,1827375,170
Simon Sinek,Why good leaders make you feel safe,Leadership expert,719,38,6803938,294
Jackie Savitz,"Save the oceans, feed the world!",Ocean advocate,670,31,1182977,98
Andrew Solomon,How the worst moments in our lives make us who we are,Writer,1227,29,4801456,224
Chris Kluwe,How augmented reality will change sports ... and build empathy,Punter and author,551,24,1194762,108
Wes Moore,How to talk to veterans about the war,Author and advocate,867,24,936480,88
Sebastian Junger,Why veterans miss war,Journalist and documentarian,788,25,2375405,231
Jon Mooallem,How the teddy bear taught us compassion,Writer,856,26,1101811,44
Kitra Cahana,A glimpse of life on the road,Vagabond photojournalist + conceptual artist,300,35,1454663,122
Stephen Friend,"The hunt for ""unexpected genetic heroes""",Open-science advocate,639,24,959404,55
Sting,How I started writing songs again,"Composer, singer, author, actor, activist",1395,25,1934877,101
Ray Kurzweil,Get ready for hybrid thinking,"Inventor, futurist",592,29,1971157,180
Dan Gilbert,The psychology of your future self,Psychologist; happiness expert,409,42,3399887,248
Stephen Burt,Why people need poetry,Poetry critic,792,25,1117996,84
Robert Full,"The secrets of nature's grossest creatures, channeled into robots",Biologist,307,30,1229640,49
Yoruba Richen,What the gay rights movement learned from the civil rights movement,Documentary filmmaker,1062,17,698636,173
Stella Young,"I'm not your inspiration, thank you very much","Comedian, journalist, activist",556,34,2494615,207
Keren Elazari,Hackers: the Internet's immune system,Cybersecurity expert,999,27,2120292,105
Will Potter,The shocking move to criminalize nonviolent protest,Investigative journalist,273,34,1032390,118
Uri Alon,Why science demands a leap into the unknown,Systems biologist,952,23,1013296,81
AJ Jacobs,The world's largest family reunion ... we're all invited!,Author,585,24,1107747,69
Kwame Anthony Appiah,Is religion good or bad? (This is a trick question),Philosopher,880,29,1569284,453
Anne Curzan ,"What makes a word ""real""?",Language historian,1033,26,1631913,123
Ruth Chang,How to make hard choices ,Philosopher,881,33,4933802,397
Jamila Lyiscott,3 ways to speak English,Poet and educator,269,31,3916554,278
Billy Collins,Two poems about what dogs think (probably),Poet,242,34,1545239,74
Shaka Senghor,Why your worst deeds don_—Èt define you,Author,720,26,1439616,147
Lorrie Faith Cranor,What_—Ès wrong with your pa$$w0rd?,Security researcher,1061,26,1463585,117
Naomi Oreskes,Why we should trust scientists,Historian of science,1154,24,1091065,338
Ge Wang,The DIY orchestra of the future,Music technologist,1056,17,1172298,70
Julian Treasure,How to speak so that people want to listen,Sound consultant,598,45,21594632,297
Chris Domas,The 1s and 0s behind cyber warfare,Cybersecurity researcher,1005,22,1017778,93
Sara Lewis,The loves and lies of fireflies,Firefly specialist,831,27,967667,37
Simon Anholt,Which country does the most good for the world?,Policy advisor,1074,32,4548276,1234
Paul Bloom,Can prejudice ever be a good thing?,Psychologist,983,26,1073549,101
George Takei,Why I love a country that once betrayed me,Actor and activist,958,26,2235902,133
Joi Ito,"Want to innovate? Become a ""now-ist""",Relentless mind,751,26,2053453,100
Nicholas Negroponte,A 30-year history of the future,Tech visionary,1183,25,1877673,67
Renata Salecl,Our unhealthy obsession with choice,Theorist,902,27,1445859,76
Karima Bennoune,When people of Muslim heritage challenge fundamentalism,Professor of international law,1205,27,1429067,335
David Kwong,Two nerdy obsessions meet -- and it's magic,Cruciverbalist,703,26,1641675,171
David Chalmers,How do you explain consciousness?,Philosopher,1117,33,2162764,2673
Nikolai Begg,A tool to fix one of the most dangerous moments in surgery,Mechanical engineer,561,31,1332920,117
Shih Chieh Huang,Sculptures that_—Èd be at home in the deep sea,Artist,314,31,833015,33
Heather Barnett,What humans can learn from semi-intelligent slime,Artist,731,26,946949,63
Ze Frank,Are you human?,"Humorist, web artist",274,44,4058219,251
Shai Reshef,An ultra-low-cost college degree,Education entrepreneur,648,36,4962607,191
Margaret Gould Stewart,"How giant websites design for you (and a billion others, too)",User experience master,776,25,1576773,111
Hubertus Knabe,The dark secrets of a surveillance state,Historian,1174,28,1180236,65
Janet Iwasa,How animations can help scientists test a hypothesis,Molecular animator,306,31,837568,51
Megan Washington,Why I live in mortal dread of public speaking,Musician,778,31,1669149,161
Talithia Williams,Own your body's data,Statistician,1023,24,1345444,71
Nick Hanauer,"Beware, fellow plutocrats, the pitchforks are coming","Venture capitalist, author",1222,26,1623637,992
Dan Pacholke,How prisons can help inmates live meaningful lives,Prison administrator and reformer,632,25,812963,134
Eric Liu,Why ordinary people need to understand power,Civics educator,1035,24,1798578,146
Clint Smith,The danger of silence,"Poet, educator",258,40,3804535,293
Tim Berners-Lee,A Magna Carta for the web,Inventor,403,29,1054600,59
Aziza Chaouni,"How I brought a river, and my city, back to life",Architect + ecotourism specialist,339,29,668555,34
Jarrett J. Krosoczka,Why lunch ladies are heroes,Author/illustrator,324,29,1260362,70
Laurel Braitman,"Depressed dogs, cats with OCD _—” what animal madness means for us humans",Science Historian + Writer,1169,26,1370965,177
Ziyah GaficÕÅ,"Everyday objects, tragic histories",Photographer + storyteller,272,36,1000194,33
Martin Rees,Can we prevent the end of the world?,Astrophysicist,412,32,1219295,283
Rose Goslinga,"Crop insurance, an idea worth seeding",Microinsurer,604,26,554809,45
Meera Vijayann,Find your voice against gender violence,Citizen journalist,838,27,884313,208
Sally Kohn,Don't like clickbait? Don't click,Political pundit,276,30,1198332,100
Jill Shargaa,"Please, please, people. Let's put the 'awe' back in 'awesome'",Comedian + Designer,373,30,1492005,184
Jim Holt,Why does the universe exist?,Writer and philosopher,1037,31,2890269,503
Isabel Allende,How to live passionately_—”no matter your age,Novelist,496,36,3247638,163
Shubhendu Sharma,"An engineer's vision for tiny forests, everywhere",Eco-entrepreneur,262,37,1111146,92
Colin Grant,How our stories cross over,"Author, historian",1045,23,877106,56
Zak Ebrahim,I am the son of a terrorist. Here's how I chose peace.,Peace activist,550,40,4619628,417
Dan Barasch,A park underneath the hustle and bustle of New York City,Strategist,377,30,862238,38
Hans and Ola Rosling,How not to be ignorant about the world,Global health expert; data visionary,1145,32,3673455,177
Uldus Bakhtiozina,Wry photos that turn stereotypes upside down,photographer + visual artist,243,31,1464877,52
Rishi Manchanda,What makes us get sick? Look upstream,Physician,1093,21,1399303,91
Andrew Connolly,What's the next window into our universe?,Astronomer,1059,21,1223720,62
Mac Barnett,Why a good book is a secret door,Children's book author,1019,31,1623955,114
Avi Reichental,What's next in 3D printing,3D printer,544,27,2526255,87
Antonio Donato Nobre,The magic of the Amazon: A river that flows invisibly all around us,Scientist,1295,14,984973,44
Lord Nicholas Stern,The state of the climate _—” and what we might do about it,Climate economist,993,23,773801,176
Kenneth Cukier,Big data is better data,Data Editor of The Economist,951,23,1305783,65
Eman Mohammed,The courage to tell a hidden story,Photojournalist,252,40,1292110,172
Matthew O'Reilly,_—“Am I dying?_—ù The honest answer.,Emergency medical technician,333,39,1940683,263
Moshe Safdie,How to reinvent the apartment building,Architect,346,29,1600522,107
Francis de los Reyes,Sanitation is a basic human right,"Environmental engineer, sanitation activist",501,23,742106,61
Susan Colantuono,The career advice you probably didn_—Èt get,Leadership expert,837,24,3404977,91
Gail Reed,Where to train the world's doctors? Cuba.,Cuban health care expert,1028,26,772907,112
Nancy Kanwisher,A neural portrait of the human mind,Brain researcher,1060,28,1082869,271
Daria van den Bercken,Why I take the piano on the road ... and in the air,Pianist,570,32,903111,35
Thomas Piketty,New thoughts on capital in the twenty-first century,Economist,1260,24,1349623,120
Meaghan Ramsey,Why thinking you're ugly is bad for you,Self-esteem advocate,722,32,3590381,206
Pia Mancini,How to upgrade democracy for the Internet era,Democracy activist,804,29,1213718,129
Dilip Ratha,The hidden force in global economics: sending money home,Remittances expert,1019,25,1281466,105
Glenn Greenwald,Why privacy matters,Journalist,1237,31,1942778,400
Jeff Iliff,One more reason to get a good night's sleep,Neuroscientist,701,30,3705589,203
Myriam Sidibe,The simple power of hand-washing,Public-health expert,701,32,1015320,47
Jorge Soto,The future of early cancer detection?,Cancer technologist,677,28,1213251,80
Melissa Fleming,"Let's help refugees thrive, not just survive",Voice for refugees,968,29,1119970,71
Kitra Cahana,"My father, locked in his body but soaring free",Vagabond photojournalist + conceptual artist,758,27,1112534,50
Susan Etlinger,What do we do with all this big data? ,Data analyst,743,25,1209472,62
Fred Swaniker,"The leaders who ruined Africa, and the generation who can fix it",Educational entrepreneur,806,24,1239635,49
Joy Sun,Should you donate differently?,Veteran aid worker,455,33,1218131,116
Fabien Cousteau,What I learned from spending 31 days underwater,Ocean explorer and environmentalist,647,29,1215053,32
